Timepoint,Sample,Colony,Survivorship,Polyps,Treatment,Richness.Type
End,JA-17-2,841-47,0,NA,High,Single
Initial,JA-18-1,841-47,1,3,High,Single
S1D3,JA-18-1,841-47,1,3,High,Single
S2R1,JA-18-1,841-47,1,3,High,Single
S2D2,JA-18-1,841-47,1,3,High,Single
S2D8,JA-18-1,841-47,1,2,High,Single
S2D11,JA-18-1,841-47,0,NA,High,Single
End,JA-18-1,841-47,0,NA,High,Single
Initial,JA-18-2,841-47,1,4,High,Single
S1D3,JA-18-2,841-47,1,4,High,Single
S2R1,JA-18-2,841-47,1,4,High,Single
S2D2,JA-18-2,841-47,1,4,High,Single
S2D8,JA-18-2,841-47,1,3,High,Single
S2D11,JA-18-2,841-47,0,NA,High,Single
End,JA-18-2,841-47,0,NA,High,Single
Initial,JA-18-3,841-47,1,3,High,Single
S1D3,JA-18-3,841-47,1,4,High,Single
S2R1,JA-18-3,841-47,1,5,High,Single
S2D2,JA-18-3,841-47,1,3,High,Single
S2D8,JA-18-3,841-47,1,3,High,Single
S2D11,JA-18-3,841-47,0,NA,High,Single
End,JA-18-3,841-47,0,NA,High,Single
Initial,JA-19-2,841-47,1,2,Ambient,Single
S1D3,JA-19-2,841-47,1,3,Ambient,Single
S2R1,JA-19-2,841-47,1,4,Ambient,Single
S2D2,JA-19-2,841-47,1,3,Ambient,Single
S2D8,JA-19-2,841-47,1,2,Ambient,Single
S2D11,JA-19-2,841-47,1,2,Ambient,Single
End,JA-19-2,841-47,0,NA,Ambient,Single
Initial,JA-20-2,841-47,1,4,Ambient,Single
S1D3,JA-20-2,841-47,1,5,Ambient,Single
S2R1,JA-20-2,841-47,1,6,Ambient,Single
S2D2,JA-20-2,841-47,1,5,Ambient,Single
S2D8,JA-20-2,841-47,1,7,Ambient,Single
S2D11,JA-20-2,841-47,1,7,Ambient,Single
End,JA-20-2,841-47,1,7,Ambient,Single
Initial,JA-20-3,841-47,1,3,Ambient,Single
S1D3,JA-20-3,841-47,1,4,Ambient,Single
S2R1,JA-20-3,841-47,1,4,Ambient,Single
S2D2,JA-20-3,841-47,0,NA,Ambient,Single
S2D8,JA-20-3,841-47,0,NA,Ambient,Single
S2D11,JA-20-3,841-47,0,NA,Ambient,Single
End,JA-20-3,841-47,0,NA,Ambient,Single
Initial,JA-22-1,812-25,1,4,High,Single
S1D3,JA-22-1,812-25,1,4,High,Single
S2R1,JA-22-1,812-25,1,4,High,Single
S2D2,JA-22-1,812-25,1,5,High,Single
S2D8,JA-22-1,812-25,1,3,High,Single
S2D11,JA-22-1,812-25,0,NA,High,Single
End,JA-22-1,812-25,0,NA,High,Single
Initial,JA-22-3,812-25,1,2,High,Single
S1D3,JA-22-3,812-25,1,2,High,Single
S2R1,JA-22-3,812-25,1,3,High,Single
S2D2,JA-22-3,812-25,1,3,High,Single
S2D8,JA-22-3,812-25,1,1,High,Single
S2D11,JA-22-3,812-25,0,NA,High,Single
End,JA-22-3,812-25,0,NA,High,Single
Initial,JA-22-4,812-25,1,2,High,Single
S1D3,JA-22-4,812-25,1,2,High,Single
S2R1,JA-22-4,812-25,1,3,High,Single
S2D2,JA-22-4,812-25,1,4,High,Single
S2D8,JA-22-4,812-25,1,3,High,Single
S2D11,JA-22-4,812-25,0,NA,High,Single
End,JA-22-4,812-25,0,NA,High,Single
Initial,JA-23-1,801-47,1,3,High,Single
S1D3,JA-23-1,801-47,1,3,High,Single
S2R1,JA-23-1,801-47,1,3,High,Single
S2D2,JA-23-1,801-47,1,3,High,Single
S2D8,JA-23-1,801-47,1,2,High,Single
S2D11,JA-23-1,801-47,0,NA,High,Single
