Date,Week,StressDay,Treatment,Colony,Reef,Plate,RackRep,Frag,Table,Temperature,ID,Time,Notes
20190610,12,1,Single,4,,1_4_P01,4,1_4_18,D,High,544,2133,
20190610,12,1,Single,4,,1_4_P01,6,1_4_23,D,High,553,2133,
20190610,12,1,Single,4,,1_4_P01,5,1_4_33,D,High,551,2133,
20190610,12,1,Single,4,,1_4_P01,8,1_4_38,D,High,547,2133,
20190610,12,1,Single,4,,1_4_P01,2,1_4_40,D,High,546,2133,
20190610,12,1,Single,4,,1_4_P01,7,1_4_5,D,High,550,2133,
20190610,12,1,Single,4,,1_4_P01,1,1_4_7,D,High,549,2133,
20190610,12,1,Single,4,,1_4_P02,9,1_4_16,B,Ambient,173,2008,
20190610,12,1,Single,4,,1_4_P02,5,1_4_24,B,Ambient,179,2008,
20190610,12,1,Single,4,,1_4_P02,8,1_4_25,B,Ambient,180,2008,
20190610,12,1,Single,4,,1_4_P02,7,1_4_27,B,Ambient,174,2008,
20190610,12,1,Single,4,,1_4_P02,3,1_4_28,B,Ambient,175,2008,
20190610,12,1,Single,4,,1_4_P02,1,1_4_30,B,Ambient,176,2008,
20190610,12,1,Single,4,,1_4_P02,2,1_4_31,B,Ambient,178,2008,
20190610,12,1,Single,4,,1_4_P02,6,1_4_35,B,Ambient,177,2008,
